,cleaned
40,schneider electric license server port license activation web port floating license manager connects schneider electric license server web site activate license web
54,alarm comment comment alarm operator click acknowledge operator needs fill comment added history ok citect handle manually ack alarm go history add comment requests done avoid acknowledge alarm without actually leaving comment operator must enter comment continue code alarmcomment works history alarms view active alarms view alarmcomment cicode function works summary soe pages easy enable alarm acknowledge summary page modify template order add comment finalize alarm acknowledge active alarm page manage soeeventadd function function add new record comment related specific alarm
79,trend files usb drive change data folder point external hd better internal ssd make sure copy data folder change citectini restart
80,citect crashes product vijeo citect v740sp1 logged login citect runtime crashes year ago ideas citect exeption report large attach specific
99,always write several clients running remote desktops primary secondary citect server yet encryption sometimes clients write io server input tag seem input ok little back previous value goes buttons pressed ok affect tag disappear io server restarted install latest patch
100,license renewal borrowed usb licens keys test se files renew continue testing br peter
101,change templateparent page old migrated citect want modernise template pages template parent page way go forward created citect v6 migrated 2018r2 guides written modernising projects br peter
180,citect upgrade version 610 2018r2 citect scada upgrade version 610 2018r2 added followed migrate scada compilation messages 6292020 sent replacements deprecated functions could find
183,upgrade citect 74 citect 2018 looking information upgrading citectscada 2018
189,citect scada migration migration new version citect scada following questions warning image called warning variables cannot changed image called variables revision version change version 82 image called revision
190,wants citect scada 2018 r2 license could web based activated wants citect scada 2018 r2 license could web based activated incentro distribuitor wonderware citect central america caribean eu cemex jamaica siteid 79066 update licenses citect v72 2018r2 licenses could web base activated softkey lost almost dongle keys web license activation cf agreement number 137799 137800 verified key serial number sent key details wants exchange hardware license software license sent citect scada sales support asked contact local distributor
198,citect compatibility windows 10 enterprise 2019 confirm compatibility citect 2018 windows enterprise 2019 correct version citect sending link technologie matrix als versions listed supported os
201,changes process analyst export latest update export csv process analyst always working fine patch 38 format exported data changed installing latest update data thousands separator look 1243523 installing update data exported 12 43523 space thousands separator changed setting come
202,implement driver connects remote devices dynamic remote udp ports ive developed custom snmp driver working fine snmp read cannot receive snmp trap supported
239,creation failed runtime deployment deployment client1view cannot create workstation runtime always run server without deployment action possible
240,upgrade usb license key citect 2018 running citect 2016 update nov 2016 upgrading citect 2018 update nov 2019 got mismatch generate authorisation code license generator update key version successful update ciusafe still run program
241,wants citect scada 74 communicate logix emulate v30 abclx driver wants citect scada 74 communicate logix emulate v30 abclx driver wondering way connect vijeo citect 74 logix emulate v30 develop application running allen bradley plc driver abclx unlicensed driver means pay license run application additional software connect vijeo citect real plc specifically 1756l81e controllogix 5580 controller sent driver trace parameters add citectini 4162020 temporary closing case reopen ready resume
270,primary secondary servers wants document shows configure redundancy arconic alcoa tn found kinds documents talk alarm trends reports etc redundancy works specific document shows configure directed john section citect scada 2018 r2 document redundancy configuration discussed
291,trend backfill way force backfill date end date two redundant trend servers given possibilities details tn
304,update pages update pages warn missig library update genie cause update page method modified 2018r2 bug 66633
305,repair license license repair contact src
306,special characters correctly displayed displaying special characters éèà graphic pages write simple text graphic builder squaregarbled characters shown instead regionlanguage set ansitooem set citectini application working fine redundant server pc w10 pro 64 bits uninstall completely citect remove entry register reinstall citect apply update 09
307,repair licenses repair licenses seems restart server licenses deactivated cause system making license valid licenses returned check architecture go anywhereusb
308,modnetdll startup modnet driver cannot cause tcpipdll also cannot loaded configuration tcpip board correct
309,real value tagwrite im writing new value decimal point coma 02 02 get 434 saying invalid data conversion write value exponent mode 2e1 works fine
310,alarmsumlast function migrating old citect v72 function alarmsumlast cicode function call function order receive index alarm summary never get index feedback cicode function stop part code executed
349,crash sometimes open view net controls custom control library symbols animations library write wpf library embeded net objects citect activex sometimes open page 50 controls crash time opening pretty fast seconds enclosed screenshot symbol net control provide link ill zip
389,cant connect abb opc server cant connect abb remote opc server cause dcom settings correct cannot connect also opcexpert
390,restart alarm service stay long time restarting alarm service takes days size folder alarm big reduice size folder resolve restarting alarm service
400,deployment remote status 4620 ask phone call case closurethe resolved little upset time took resolve provide explanation
437,deployment working 202008 update updating servers 2018r2 202008 update clients update tot version update configurator deplayment service completely removing software reinstalling configurator wont open anymore installed right
438,viewonly two accounts licensed server license available server assigned pictures attachment working advise cause connecting server server password correct
524,database connection database exchange miluma srl site id 54979 database connection made database exchange big database unreachable citect remains blocked fo long time possible set connection timeout marco
525,citect scada runtime license failure usb recognized
575,download citectscada v54 website locate full installation citectscada v540 aveva website
576,alarm save period wants replacement alarm save period newer versions citect scada appears alarm save period obsolete citect v73 set newer versions citect
579,software licenses returned return license activate another machine
639,sqlclient stops delivering results sqlclient stops providing data starts working restart citect
640,cannot save changes citect graphics builder pgdynobjdbf 2gb longer save changes cant either run pack command described tn3212 still compile weve run options br joakim
